Customer,Date Shipped,Product ID,Brand,Channel
9828135,4/25/18,446,Black Dog,Direct
9839034,4/25/18,446,Black Dog,Direct
9825615,4/26/18,17,White Whale,Direct
9835425,4/26/18,446,Black Dog,Direct
9835560,4/26/18,446,Black Dog,Direct
9839187,4/26/18,446,Black Dog,Direct
9832500,4/28/18,17,White Whale,Direct
9837162,4/28/18,17,White Whale,Direct
9837441,4/28/18,17,White Whale,Direct
9839061,4/28/18,17,White Whale,Partner
9811044,1/10/18,494,Black Dog,Direct
9815634,1/10/18,677,White Whale,Partner
9822699,1/10/18,677,White Whale,Direct
9822717,1/10/18,677,White Whale,Direct
9823635,1/10/18,677,White Whale,Direct
9823860,1/10/18,677,White Whale,Direct
9823914,1/10/18,677,White Whale,Direct
9824481,1/10/18,677,White Whale,Direct
9824661,1/10/18,494,Black Dog,Direct
9824670,1/10/18,677,White Whale,Direct
9825633,1/10/18,494,Black Dog,Direct
9825705,1/10/18,677,White Whale,Direct
9828315,1/10/18,494,Black Dog,Direct
9828324,1/10/18,494,Black Dog,Direct
9829152,1/10/18,968,White Whale,Direct
9830142,1/10/18,677,White Whale,Direct
9830196,1/10/18,677,White Whale,Direct
9830205,1/10/18,677,White Whale,Direct
9830781,1/10/18,677,White Whale,Direct
9830790,1/10/18,494,Black Dog,Direct
9831888,1/10/18,677,White Whale,Direct
9832887,1/10/18,677,White Whale,Direct
9833742,1/10/18,677,White Whale,Direct
9833751,1/10/18,494,Black Dog,Direct
9833787,1/10/18,677,White Whale,Direct
9835371,1/10/18,494,Black Dog,Direct
9835533,1/10/18,458,Black Dog,Direct
9836118,1/10/18,677,White Whale,Direct
9836424,1/10/18,548,White Whale,Direct
9837108,1/10/18,494,Black Dog,Direct
9837117,1/10/18,494,Black Dog,Direct
9837126,1/10/18,677,White Whale,Direct
9837207,1/10/18,968,White Whale,Direct
9837918,1/10/18,677,White Whale,Direct
9837927,1/10/18,677,White Whale,Direct
9838287,1/10/18,677,White Whale,Direct
9839124,1/10/18,494,Black Dog,Direct
9839133,1/10/18,677,White Whale,Direct
9839718,1/10/18,677,White Whale,Direct
9839727,1/10/18,494,Black Dog,Direct
9839754,1/10/18,677,White Whale,Direct
9839889,1/10/18,677,White Whale,Direct
9841518,1/10/18,677,White Whale,Direct
9841590,1/10/18,677,White Whale,Direct
9841599,1/10/18,677,White Whale,Direct
9841734,1/10/18,677,White Whale,Direct
9842472,1/10/18,494,Black Dog,Direct
9842490,1/10/18,677,White Whale,Direct
9842598,1/10/18,494,Black Dog,Direct
9842670,1/10/18,494,Black Dog,Direct
9843381,1/10/18,677,White Whale,Direct
9843516,1/10/18,677,White Whale,Direct
9843525,1/10/18,677,White Whale,Direct
9844272,1/10/18,677,White Whale,Direct
9845100,1/10/18,677,White Whale,Direct
9845316,1/10/18,677,White Whale,Direct
9845370,1/10/18,677,White Whale,Direct
9845442,1/10/18,677,White Whale,Direct
9845532,1/10/18,494,Black Dog,Direct
9846000,1/10/18,494,Black Dog,Direct
9846117,1/10/18,677,White Whale,Direct
9846279,1/10/18,548,White Whale,Direct
9846936,1/10/18,494,Black Dog,Direct
9847044,1/10/18,677,White Whale,Direct
9847197,1/10/18,494,Black Dog,Direct
9847260,1/10/18,677,White Whale,Direct
9847332,1/10/18,494,Black Dog,Direct
9833787,2/3/18,1313,White Whale,Direct
9838287,2/3/18,1313,White Whale,Direct
